child1 pid=2988 : 0
child1 pid=2988 : 1
child1 pid=2988 : 2
child1 pid=2988 : 3
child1 pid=2988 : 4
child1 pid=2988 : 5
child1 pid=2988 : 6
child1 pid=2988 : 7
child1 pid=2988 : 8
child1 pid=2988 : 9
child2 pid=2989 : 0
child2 pid=2989 : 1
child2 pid=2989 : 2
child2 pid=2989 : 3
child2 pid=2989 : 4
child2 pid=2989 : 5
child2 pid=2989 : 6
child2 pid=2989 : 7
child2 pid=2989 : 8
child2 pid=2989 : 9
child3 pid=2990 : 0
child3 pid=2990 : 1
child3 pid=2990 : 2
child3 pid=2990 : 3
child3 pid=2990 : 4
child3 pid=2990 : 5
child3 pid=2990 : 6
child3 pid=2990 : 7
child3 pid=2990 : 8
child3 pid=2990 : 9
